Sr. No.,Tender Id,T247 Id,Tender Number,Meril Ref No,New Govt Code,Distributor Master,Zonal Head Name,Front Line Sales,HO Name,Site Location,Tender Due Date,Pre Bid Meeting Date,Quantity,Uom,Sap Material Code,Model,Lob,Segment,Sales Cat,status,Remarks,Estimated Cost,Final Remarks,Bidder Company,Bidder Model,Bidder Price,Bidder Rank
40,13101,94992393,GEM/2025/B/6929115,,,,,,,"Ganderbal, Jammu And Kashmir, India",05-12-2025,,6888,,,,,,,N/A,,168000,,,,,
41,13060,94992233,GEM/2025/B/6928731,,,,,,,"New Delhi, Delhi, India",16-12-2025,ref to doc,7750,,,,,,,N/A,,156592.54,,,,,
42,10123,94220710,2025_DME_818751_1,,,,,,,"Kollam, Kerala, India",01-12-2025,ref to doc,,,,,,,,N/A,,147500,,,,,
43,13155,95016978,646978-336/25-26/EM&MRT-V/P42/CE/O&M/KTPS-V&VI Stages,,,,,,,"Not Classified, Telangana, India",17-12-2025,,,,,,,,,N/A,,128424,,,,,
44,13076,94995129,GEM/2025/B/6929671,,,,,,,"Udhampur, Jammu And Kashmir, India",05-12-2025,,1,,,,,,,N/A,,100000,,,,,
45,13157,95017205,GEM/2025/B/6857415,,,,,,,"Kolkata, West Bengal, India",05-12-2025,ref to doc,1,,,,,,,N/A,,80000,,,,,
46,13056,94992011,GEM/2025/B/6928428,,,,,,,"New Delhi, Delhi, India",17-12-2025,,725,,,,,,,N/A,,72427.5,,,,,
47,10521,94359132,2025_MCGM_1241131_1,,,,,,,"Mumbai, Maharashtra, India",27-11-2025,ref to doc,,,,,,,,N/A,,30000,,,,,
48,10646,94390016,2025_MCGM_1241265_1,,,,,,,"Mumbai, Maharashtra, India",27-11-2025,ref to doc,,,,,,,,N/A,,30000,,,,,
49,13093,95000408,GEM/2025/B/6929492,,,,,,,"Bilaspur , Chhattisgarh, India",10-12-2025,,20,,,,,,,N/A,,7616,,,,,
50,11806,94657134,DHFWS/2025-26/IND1933,,,,,,,"Bijapur, Karnataka, India",28-11-2025,ref to doc,,,,,,,,N/A,,0,,,,,
51,12963,94954379,,,,,,,,"Giridih, Jharkhand, India",04-12-2025,,,,,,,,,N/A,,0,,,,,
52,12968,94957827,WBMAD/NDITA/64/2025-26,,,,,,,"Kolkata, West Bengal, India",22-12-2025,,,,,,,,,N/A,,0,,,,,
53,12969,94957832,,,,,,,,"Faridkot, Punjab, India",07-12-2025,,,,,,,,,N/A,,0,,,,,
54,12972,94965898,62252654A,,,,,,,"Kalyan, Maharashtra, India",08-12-2025,,,,,,,,,N/A,,0,,,,,
55,12973,94966019,202526ELTM473,,,,,,,"Jalpaiguri, West Bengal, India",27-11-2025,,,,,,,,,N/A,,0,,,,,
56,12974,94966085,22255847,,,,,,,"Kanchrapara, West Bengal, India",08-12-2025,,,,,,,,,N/A,,0,,,,,
57,12981,94967104,T.E.NO. GMSCL/D-769/RC/2025-26:231569:,,,,,,,"Gandhinagar, Gujarat, India",05-12-2025,08-10-2025,,,,,,,,N/A,,0,,,,,
58,12982,94967529,T. E. NO - GMSCL/D-773 /RC/2025-26 (ON RATE CONTRACT BASIS):239009:,,,,,,,"Gandhinagar, Gujarat, India",01-12-2025,12-11-2025,,,,,,,,N/A,,0,,,,,
